TinyProfiler total time across processes [min...avg...max]: 6.591 ... 6.591 ... 6.591

--------------------------------------------------------------------------------------------------
Name                                               NCalls  Excl. Min  Excl. Avg  Excl. Max   Max %
FabArrayBase::CPC::define()                            14   4.66e-05   4.66e-05   4.66e-05   0.00%
mfix::mfix_compute_vort                                 3   4.54e-05   4.54e-05   4.54e-05   0.00%
NeighborParticleContainer::BuildMasks                   1   2.78e-05   2.78e-05   2.78e-05   0.00%
DistributionMapping::SFCProcessorMapDoIt()              1   1.99e-05   1.99e-05   1.99e-05   0.00%
MFIXBoundaryConditions::set_tracer_bcs()                6    8.7e-06    8.7e-06    8.7e-06   0.00%
DistributionMapping::LeastUsedCPUs()                    1    6.9e-06    6.9e-06    6.9e-06   0.00%
DistributionMapping::Distribute()                       1      3e-06      3e-06      3e-06   0.00%
mfix::ComputeMassAccum()                                1    2.3e-06    2.3e-06    2.3e-06   0.00%
--------------------------------------------------------------------------------------------------



BEGIN REGION DEM PARTICLE SOLVE

-----------------------------------------------------------------------------------------------
Name                                            NCalls  Excl. Min  Excl. Avg  Excl. Max   Max %
-----------------------------------------------------------------------------------------------
particles_computation                             3758     0.8975     0.8975     0.8975  13.62%
NeighborList::build()->list                        164     0.5218     0.5218     0.5218   7.92%
NeighborList::build()->count                       164      0.493      0.493      0.493   7.48%
NeighborParticleContainer::updateNeighborsCPU     3758     0.4221     0.4221     0.4221   6.40%
mfix_dem::EvolveParticles()                         30     0.1898     0.1898     0.1898   2.88%
NeighborParticleContainer::cacheNeighborInfo       164     0.1179     0.1179     0.1179   1.79%
ParticleContainer::RedistributeCPU()               224    0.02633    0.02633    0.02633   0.40%
NeighborParticleContainer::buildNeighborList       164    0.01674    0.01674    0.01674   0.25%
DenseBins<T>::buildOpenMP                          164    0.01141    0.01141    0.01141   0.17%
NeighborParticleContainer::fillNeighborsCPU        164   0.009621   0.009621   0.009621   0.15%
NeighborParticleContainer::fillNeighborsMPI       3758   0.004752   0.004752   0.004752   0.07%
NeighborParticleContainer::clearNeighborsCPU       582    0.00135    0.00135    0.00135   0.02%
NeighborList::build()                              164   0.001234   0.001234   0.001234   0.02%
NeighborParticleContainer::getRcvCountsMPI         164  0.0003958  0.0003958  0.0003958   0.01%
ParticleContainer::BuildRedistributeMask           224  0.0003084  0.0003084  0.0003084   0.00%
NeighborParticleContainer::areMasksValid           164  0.0002476  0.0002476  0.0002476   0.00%
mfix_dem::mfix_pc_inflow()                          30  0.0001194  0.0001194  0.0001194   0.00%
REG::DEM PARTICLE SOLVE                             30   9.98e-05   9.98e-05   9.98e-05   0.00%
